train_loss,train_rmsd,val_loss,val_rmsd
9.760313224546688105e+01,1.452096163489154890e+01,7.129429365459240842e+01,1.245778109901829822e+01
7.390850802549381626e+01,1.236153395581491132e+01,5.506764255322907786e+01,1.088670992098356471e+01
6.518891190990959217e+01,1.158596518973714318e+01,5.043189417186536616e+01,1.032592660502383630e+01
5.626615632317729876e+01,1.066127082797669878e+01,4.155138099068089730e+01,9.376414012908934836e+00
5.110658068263653320e+01,1.001191697169825012e+01,3.832632507023058110e+01,8.829134542063663105e+00
4.525069912192747523e+01,9.430142884401931269e+00,2.859303264617919993e+01,7.710556463191383436e+00
3.907066021321975313e+01,8.723067992126818382e+00,3.075732885159944274e+01,7.836811667994449060e+00
3.575403361406522862e+01,8.339313501549749930e+00,2.367175932181508813e+01,6.839595985412597834e+00
3.299203585963888230e+01,7.764092064395393678e+00,2.026894320939716465e+01,6.240506340328015433e+00
2.740823438548550328e+01,7.136858485408665409e+00,1.449264696773729888e+01,5.416168470131723645e+00
2.539513490510355709e+01,6.805158444901102222e+00,1.319154178845255032e+01,5.124924004705328606e+00
2.363099424249118030e+01,6.559607369383585684e+00,1.253201849209634844e+01,4.951184661764847839e+00
2.106245889814244165e+01,6.227882081393113722e+00,1.265476896009947083e+01,4.998062796341745440e+00
1.871674277671833764e+01,5.847623676676111160e+00,1.047268931112791357e+01,4.634013714288410135e+00
1.843701155499084621e+01,5.806538476771915036e+00,9.130625446219193364e+00,4.349718523652930102e+00
1.609831211339567147e+01,5.516206235922489043e+00,8.236784971387763221e+00,4.154679416355333998e+00
1.575821195926862828e+01,5.374443823836513090e+00,7.857828072497719418e+00,4.084110813391836459e+00
1.390878870587834371e+01,5.091374209093064707e+00,7.822294761005200492e+00,4.025841669032447889e+00
1.362980081617217643e+01,4.924071656059973101e+00,7.332566562451813930e+00,3.869123919386612709e+00
1.202128315033371919e+01,4.768092944449985104e+00,5.875634333961888167e+00,3.565596337067453270e+00
1.123107408278996111e+01,4.630858958074727028e+00,6.066081187599583480e+00,3.600821022610915190e+00
1.085603932928793292e+01,4.517985347312750477e+00,6.122286388748570118e+00,3.769217410840486338e+00
1.126257322068066991e+01,4.514802943492672860e+00,5.564504757052973538e+00,3.467020084983424066e+00
1.049938319823176514e+01,4.451552009459623704e+00,5.214291637822201508e+00,3.428102316354450618e+00
1.041916511200138018e+01,4.407165576809460639e+00,5.457866001756567442e+00,3.447283996406354412e+00
9.123396795742291232e+00,4.229737033856284079e+00,5.079411396227384579e+00,3.339459435563338463e+00
8.440980552974128415e+00,4.096851355789863369e+00,4.572896871441288980e+00,3.224831781261845443e+00
8.367454072863784731e+00,4.054066805495429193e+00,4.284802921194779124e+00,3.153156083508541929e+00
8.575850972963362295e+00,4.078023746763308033e+00,4.341340320361288363e+00,3.226311168545170638e+00
7.764842583039372137e+00,3.958624548518780539e+00,4.307638431222815534e+00,3.130675455143577146e+00
7.104041535215279701e+00,3.801962634337316960e+00,4.113823921429483832e+00,3.151386337531240311e+00
7.451750672662381447e+00,3.803524740885213529e+00,4.644453917051616365e+00,3.287853684550837485e+00
7.483931002235904018e+00,3.777139538649431305e+00,3.821428625834615733e+00,2.988293840383228428e+00
7.189097837688996684e+00,3.777069551121328139e+00,3.832742120717701262e+00,2.952181599014683577e+00
6.626978781112690342e+00,3.697256221291945089e+00,3.715808502623909604e+00,2.922094435440866445e+00
6.538909485045167891e+00,3.646001406551636403e+00,3.608859697768562746e+00,2.906269217792310400e+00
6.286740675722200855e+00,3.609901874028530244e+00,3.526781206381948586e+00,2.919832162480605398e+00
6.399243091185068621e+00,3.572017745258881938e+00,3.782909317393051918e+00,3.033179924990001552e+00
6.259754552361891378e+00,3.609734547814142935e+00,3.535832797226152735e+00,2.899590165364114736e+00
6.454143564725659310e+00,3.583078181313485100e+00,3.690771289875632633e+00,2.945471380886278467e+00
5.682663059457368604e+00,3.491905525173108593e+00,3.544951137116080897e+00,2.883416704127663266e+00
5.692211529028784689e+00,3.435651056238056444e+00,3.429890261198345058e+00,2.810621329357749332e+00
5.170314953806474101e+00,3.353728274401930332e+00,3.377847626334742337e+00,2.796702848610125081e+00
5.400752409985384972e+00,3.403365860894783435e+00,3.723196633865958560e+00,2.933041787774939291e+00
5.609748895328069196e+00,3.375611474679917290e+00,3.522801803915124097e+00,2.895262932777404874e+00
5.357732381402831479e+00,3.412560135740594802e+00,3.588084287392465654e+00,2.924831255486136872e+00
5.355556478512656149e+00,3.333978250161888646e+00,3.249315473280455002e+00,2.774374058372095941e+00
5.199596832477554997e+00,3.325769897127889063e+00,3.559681906825617581e+00,2.829860532911200099e+00
5.167326730090318065e+00,3.280779484006547619e+00,3.067099304575668928e+00,2.693058390366403820e+00
4.972333873055644560e+00,3.257625110677837110e+00,3.151544673191873702e+00,2.712076843412298821e+00
