train_loss,train_rmsd,val_loss,val_rmsd
2.459852027893066406e+01,7.347270965576171875e+00,4.258671951293945312e+01,9.250510215759277344e+00
7.570870208740234375e+01,1.028204536437988281e+01,3.699219512939453125e+01,8.554190635681152344e+00
9.043968963623046875e+01,1.631970977783203125e+01,3.095140075683593750e+01,7.708958625793457031e+00
1.086533966064453125e+02,1.708188629150390625e+01,2.603146362304687500e+01,6.849921703338623047e+00
2.929415130615234375e+01,9.255715370178222656e+00,2.529652404785156250e+01,6.639918804168701172e+00
7.633407592773437500e+01,1.191553497314453125e+01,1.784320831298828125e+01,6.036908149719238281e+00
8.647688293457031250e+01,1.410567855834960938e+01,1.384317874908447266e+01,5.103154182434082031e+00
1.547195529937744141e+01,6.034836769104003906e+00,1.238783836364746094e+01,4.399339675903320312e+00
5.591970825195312500e+01,1.090178775787353516e+01,1.074267005920410156e+01,4.558942794799804688e+00
2.369709014892578125e+01,7.905526161193847656e+00,8.392452239990234375e+00,4.084263801574707031e+00
9.751788330078125000e+01,1.365935325622558594e+01,6.433747291564941406e+00,3.500225067138671875e+00
4.857212448120117188e+01,8.401926040649414062e+00,5.603020668029785156e+00,3.154630661010742188e+00
9.331239700317382812e+00,5.008046150207519531e+00,4.301131248474121094e+00,3.277164697647094727e+00
2.960364532470703125e+01,8.066969871520996094e+00,5.030764579772949219e+00,3.241605758666992188e+00
5.993420124053955078e+00,4.211666584014892578e+00,3.719612598419189453e+00,2.921598196029663086e+00
5.963006973266601562e+00,3.978673219680786133e+00,4.121294021606445312e+00,3.211825847625732422e+00
9.147781372070312500e+00,4.962797164916992188e+00,2.909257173538208008e+00,2.397026538848876953e+00
4.652320861816406250e+00,3.420434951782226562e+00,2.923028707504272461e+00,2.617451429367065430e+00
5.133913040161132812e+00,3.915257453918457031e+00,2.459538459777832031e+00,2.324890851974487305e+00
5.169122695922851562e+00,3.900703668594360352e+00,2.735556840896606445e+00,2.439604997634887695e+00
8.763036727905273438e+00,4.439653873443603516e+00,3.045028686523437500e+00,2.890075206756591797e+00
5.671755313873291016e+00,3.793759822845458984e+00,2.574244022369384766e+00,2.484058856964111328e+00
5.162110805511474609e+00,3.348390102386474609e+00,2.551119327545166016e+00,2.497210979461669922e+00
7.435507297515869141e+00,4.456014633178710938e+00,2.447361946105957031e+00,2.461866378784179688e+00
9.914587020874023438e+00,5.253534317016601562e+00,2.159847974777221680e+00,2.251729726791381836e+00
3.552598476409912109e+00,3.131937980651855469e+00,2.362877368927001953e+00,2.445751428604125977e+00
4.152661323547363281e+00,3.336670875549316406e+00,2.341088294982910156e+00,2.458327293395996094e+00
3.909872531890869141e+00,3.380739212036132812e+00,2.360431671142578125e+00,2.433114051818847656e+00
3.577245235443115234e+00,2.781213760375976562e+00,2.018642663955688477e+00,2.105966329574584961e+00
2.995388507843017578e+00,2.723953723907470703e+00,1.843417882919311523e+00,2.063781499862670898e+00
5.140697479248046875e+00,3.914300441741943359e+00,2.542376995086669922e+00,2.609296083450317383e+00
5.516064643859863281e+00,3.621214628219604492e+00,2.612342596054077148e+00,2.653411865234375000e+00
3.996865034103393555e+00,3.451396465301513672e+00,2.752693891525268555e+00,2.652251720428466797e+00
4.011570453643798828e+00,3.468194484710693359e+00,2.285842657089233398e+00,2.496738433837890625e+00
3.056671142578125000e+00,2.926806926727294922e+00,2.257417678833007812e+00,2.378338575363159180e+00
4.961108207702636719e+00,3.566625595092773438e+00,2.238280057907104492e+00,2.455152988433837891e+00
3.545876502990722656e+00,3.261264801025390625e+00,2.070854187011718750e+00,2.303875446319580078e+00
2.596269369125366211e+00,2.681383371353149414e+00,1.779258847236633301e+00,2.010868549346923828e+00
3.251007556915283203e+00,3.064439058303833008e+00,2.005376815795898438e+00,2.346611976623535156e+00
2.106248855590820312e+00,2.339141368865966797e+00,1.828200221061706543e+00,2.183300971984863281e+00
4.643384933471679688e+00,3.461319684982299805e+00,1.987300395965576172e+00,2.278673171997070312e+00
2.819174766540527344e+00,2.614392757415771484e+00,2.130119085311889648e+00,2.418795108795166016e+00
2.714208364486694336e+00,2.787827491760253906e+00,2.014373064041137695e+00,2.363634586334228516e+00
2.647144317626953125e+00,2.730105876922607422e+00,1.796893119812011719e+00,2.161880493164062500e+00
