train_loss,train_rmsd,val_loss,val_rmsd
1.025917131089672552e+02,1.534461649054104448e+01,7.732705094186883343e+01,1.354701922065333264e+01
8.129107051288958985e+01,1.335759083143214632e+01,6.332307482267680854e+01,1.212260717843708235e+01
6.948797085850509347e+01,1.220518836655567618e+01,5.456445904781944023e+01,1.119359041515149578e+01
6.032641020140697208e+01,1.132212328419242908e+01,4.448960741946572028e+01,1.002978187360261586e+01
5.156834159806831508e+01,1.035239420908013486e+01,3.769283238963076599e+01,9.114007927242077756e+00
4.321238195527460135e+01,9.379094154564375785e+00,2.811299747165880802e+01,7.804003965227227724e+00
3.678808176947622854e+01,8.555425106864614548e+00,2.441123484059383841e+01,7.221964374341462545e+00
3.011193800587015090e+01,7.698278964180307327e+00,1.988825569403799065e+01,6.466393104352449406e+00
2.593254166411370321e+01,7.067034390783801356e+00,1.759191500262210184e+01,6.059593752810829237e+00
2.226489714986270130e+01,6.545649158585931993e+00,1.358717342928836302e+01,5.358330747955723616e+00
1.920145844737279006e+01,6.070722248443622959e+00,1.134957942962646449e+01,4.875220860933002776e+00
1.727099188148361009e+01,5.749345153262934716e+00,8.826953695949756096e+00,4.340708874401292938e+00
1.491836356625114490e+01,5.359119249373367033e+00,7.683116257818121575e+00,4.096513182238529005e+00
1.348979714697169285e+01,5.055416312414346081e+00,7.288007594409742218e+00,3.970692834101225088e+00
1.214864458742829889e+01,4.844479398014619242e+00,6.217898440361023127e+00,3.716985826743276711e+00
1.141046388186130400e+01,4.736325197305875534e+00,6.108112657697577497e+00,3.677523021948965187e+00
1.041706224139203663e+01,4.561583720531659836e+00,5.209814155729193708e+00,3.477244813818680669e+00
9.746408492633976905e+00,4.418377782880645199e+00,5.236305354770861342e+00,3.471172333391089104e+00
8.848933966811170393e+00,4.248885307729858951e+00,4.785648907485761328e+00,3.324532237805818191e+00
8.874875269907036568e+00,4.249149082862224702e+00,4.509270258953696597e+00,3.293347346155266919e+00
8.095822394201436012e+00,4.072724578614087321e+00,5.015149748325347545e+00,3.382667188895376320e+00
7.947171572557429897e+00,4.050133395440799866e+00,4.340969986037204187e+00,3.185737412226827381e+00
7.378733414657337342e+00,3.941308837576010582e+00,4.093039885320161275e+00,3.166369819641113192e+00
7.318488731212222653e+00,3.929157682915323857e+00,4.112205932014866505e+00,3.140011267913015214e+00
6.863671700057294878e+00,3.800654199320016247e+00,4.149230343417117162e+00,3.173812306554693929e+00
6.500380684420005828e+00,3.739473722644687914e+00,3.869634015936600502e+00,3.044324392394015533e+00
6.324685935507115886e+00,3.700569408148834505e+00,3.939970012714988368e+00,3.107792723806281021e+00
6.239428690106598729e+00,3.689348358161670838e+00,3.776897439831181646e+00,3.020878239681846100e+00
5.957634344850618824e+00,3.597488969564437866e+00,3.575340765400936593e+00,2.988552193892629383e+00
5.665970829037046741e+00,3.523400447110539790e+00,3.652907964430357257e+00,2.998763834802728123e+00
5.602007092581581915e+00,3.506214022943654030e+00,3.474886333314996190e+00,2.956574177742004483e+00
5.404016578013134620e+00,3.462291992202247481e+00,3.444093657794751628e+00,2.974270814343502600e+00
5.264265749565105068e+00,3.441112646737049641e+00,3.517876373466692463e+00,2.951510902454978602e+00
5.150317894122035334e+00,3.398257638683024329e+00,3.154834864014073315e+00,2.816497561806126537e+00
4.964341632791401615e+00,3.326073927977650335e+00,3.371183294371554506e+00,2.903419689128273529e+00
4.863681219594994332e+00,3.314739761586041666e+00,3.080070367612336657e+00,2.784078642569089990e+00
4.628073132529701539e+00,3.256120251933324106e+00,3.230486634530519208e+00,2.825534673740989433e+00
4.591519475904936698e+00,3.238552244668154501e+00,3.063997536270242072e+00,2.765666558868006497e+00
4.454979991482705515e+00,3.211078256368637085e+00,2.918647512636686425e+00,2.704168115164104158e+00
4.356969340560362447e+00,3.181730727098651901e+00,2.987634368946677554e+00,2.718238612225181150e+00
4.332556748973954264e+00,3.165426619888580984e+00,2.855530687382346500e+00,2.697515899256655914e+00
4.241075920689966416e+00,3.136825729891196790e+00,3.090242108545805166e+00,2.790437007577795558e+00
4.272432146305890299e+00,3.143692608039403869e+00,2.885897560496079262e+00,2.712197533406709216e+00
4.043042802011843406e+00,3.073065191814579933e+00,3.049965365309464271e+00,2.792984666322407161e+00
3.964593571793172622e+00,3.058708869919334550e+00,2.770849783169595959e+00,2.648136009040631844e+00
3.888993095798590538e+00,3.046555987031189350e+00,2.754206708857887875e+00,2.619108280382658194e+00
3.840960110585714293e+00,3.019683739266444622e+00,2.962341424665952960e+00,2.735609669434396984e+00
3.757853422890004236e+00,2.983601773829804404e+00,3.048823706099861752e+00,2.766814243166070053e+00
3.821998415380408964e+00,3.010379345453891631e+00,2.670986083306764236e+00,2.587444014925705638e+00
3.604878016661122953e+00,2.948855689813181247e+00,2.633637852417795244e+00,2.581883461851822492e+00
