train_loss,train_rmsd,val_loss,val_rmsd
9.413016030223099051e+01,1.421592658328026815e+01,7.307513210898952138e+01,1.271943233640570448e+01
7.672652937829033704e+01,1.264318324902008506e+01,5.789790650417930351e+01,1.120701858369927706e+01
6.411566041732571364e+01,1.145920943722282459e+01,4.811008950283653007e+01,1.018518487277783890e+01
5.483426604074301025e+01,1.043889220473692525e+01,3.911645537928531269e+01,8.948332861850136766e+00
4.514455855322866995e+01,9.399872664016546864e+00,3.254629076405575461e+01,8.071656450472380229e+00
3.933131983722608283e+01,8.671328261341017196e+00,3.159981208098562178e+01,8.038584701638471941e+00
3.370079492170786040e+01,7.984349297494003572e+00,2.566611509825053972e+01,7.127978357515837082e+00
2.891186615916871361e+01,7.338632092647945804e+00,1.745585389890168670e+01,5.851366060658505397e+00
2.368279307850242787e+01,6.691484872520584659e+00,1.415870094801250190e+01,5.182381668843721201e+00
2.140413272473000816e+01,6.182944540203232364e+00,1.411371050884849154e+01,5.172562709607576359e+00
1.884225856612638239e+01,5.757156424301186348e+00,1.221428572629627496e+01,4.837853298689189785e+00
1.630063204175418079e+01,5.448905476897032862e+00,8.736264937802365793e+00,4.111484006204102926e+00
1.514266309818041734e+01,5.262891012983224037e+00,7.852811509684512359e+00,3.946112068703300224e+00
1.333541821726818632e+01,4.957813305338633292e+00,7.184119038832815107e+00,3.720254655888206141e+00
1.238310017659492068e+01,4.702795704308244673e+00,5.111934161186217906e+00,3.459979645829451833e+00
1.112677599228534575e+01,4.531643462242539222e+00,5.775897204248528816e+00,3.403532489977384667e+00
1.076781819776161342e+01,4.415637516176577293e+00,5.301968538133722042e+00,3.301152979072771387e+00
1.039929772836645938e+01,4.351737592638153629e+00,5.287372122312847367e+00,3.408363517334586756e+00
9.206833235689044770e+00,4.119370340379242990e+00,4.333822312480524630e+00,3.213973921223690855e+00
8.423737777569860086e+00,4.036655287459953279e+00,5.148884686043388115e+00,3.158223738168415284e+00
8.380257702365364381e+00,3.989439430925035168e+00,4.254291911501633550e+00,3.072560469100349856e+00
7.973849846222965887e+00,3.858149863395494261e+00,4.172748699941132955e+00,3.061872932785435708e+00
7.240370968567956034e+00,3.742033464699676237e+00,3.855774731385080312e+00,2.893784557518205958e+00
6.677214624878671678e+00,3.622010827064514160e+00,3.834032405050177506e+00,2.922526994504426767e+00
7.090028989560825501e+00,3.681229419622224608e+00,3.797749622244583900e+00,2.946555312056290621e+00
6.709304744128099074e+00,3.605902984891970142e+00,3.731179908074830909e+00,2.940130458380046719e+00
6.066873853661350680e+00,3.521363037455942369e+00,3.639156551110116933e+00,2.861683494793741289e+00
5.661629349915022758e+00,3.408335193223559934e+00,3.659015050059870600e+00,2.940191404443038170e+00
5.576677147260646450e+00,3.404634060933418027e+00,3.504446765623594473e+00,2.818307855254725602e+00
5.467238109443605332e+00,3.381686835252132539e+00,3.503417655041343171e+00,2.819176413510974921e+00
5.543099943510036098e+00,3.386179427817924914e+00,3.592900064117030112e+00,2.771912929258848468e+00
5.373865036005826212e+00,3.343111144820439584e+00,3.268787820715653325e+00,2.783178365230560392e+00
5.459043408945663423e+00,3.305593483226815454e+00,3.205725683036603435e+00,2.747953251788490814e+00
5.251477802229910452e+00,3.297746834066725086e+00,3.116254934197978166e+00,2.678586952937276777e+00
4.669610073425106478e+00,3.213247833792696184e+00,3.233780540290631667e+00,2.753837119278154777e+00
4.764293622571168285e+00,3.199449556390034921e+00,3.010549636263596174e+00,2.653323290222569408e+00
4.894042401737773496e+00,3.204675085765799292e+00,3.141824509595569914e+00,2.691456827364469895e+00
4.562774697222660159e+00,3.151254671443369126e+00,2.890168224510393458e+00,2.659365480197103615e+00
4.449244467714398077e+00,3.108318494460017511e+00,3.039357793331146418e+00,2.723438156278509936e+00
4.485357336776772286e+00,3.127573513185855081e+00,3.031478133954499832e+00,2.687950304307435534e+00
4.359117580289693095e+00,3.089169686909803314e+00,2.843787039581098242e+00,2.557520527588693859e+00
4.498377067833831511e+00,3.123972287651189728e+00,2.904567894182707111e+00,2.604066865067732994e+00
4.204194916738677179e+00,3.021014796089880328e+00,2.656334967989670393e+00,2.498407843238429127e+00
4.383464162036315948e+00,3.059969162818082733e+00,2.716659934269754384e+00,2.586899770561017498e+00
4.348405828027381403e+00,3.035373845204864640e+00,3.075255516955726964e+00,2.635876651814109461e+00
4.130368760873362355e+00,2.996452288990168356e+00,2.933640205232720621e+00,2.638138262221687569e+00
3.971530576649400235e+00,3.024844219389649869e+00,2.717807100321117275e+00,2.517147036602622734e+00
3.779693797384340748e+00,2.943904294641976449e+00,2.900137110132920082e+00,2.638654620396463368e+00
3.985541786345624615e+00,2.996726814465424660e+00,2.775124647429114688e+00,2.563869313817275231e+00
3.987345025096971973e+00,2.950079897168985443e+00,2.678806943642465743e+00,2.526024373581535087e+00
