train_loss,train_rmsd,val_loss,val_rmsd
9.793916152678814058e+01,1.469273367616319170e+01,7.607879920758699654e+01,1.324873782208091377e+01
7.803788605670338541e+01,1.289930923390634199e+01,6.190783487621106929e+01,1.179170929507205301e+01
6.685747715247046585e+01,1.182337342709610084e+01,5.240806953028628357e+01,1.075070271993938320e+01
5.558779108462874774e+01,1.065149684050648560e+01,4.116219402614392919e+01,9.437592383434898480e+00
4.648686869242756359e+01,9.621548159835265679e+00,3.413518542239540210e+01,8.474068508650127285e+00
3.946629405390356027e+01,8.808564746502748122e+00,2.648014232735884832e+01,7.390496806094520643e+00
3.338563637573694365e+01,8.031201746045928402e+00,2.152027486750954210e+01,6.577405506686160308e+00
2.765934871582640753e+01,7.245611368073630487e+00,1.921570328411302953e+01,6.264589927071019027e+00
2.297734375528453654e+01,6.618730086026732629e+00,1.556950860399948944e+01,5.513208298934133111e+00
1.971600414121273914e+01,6.052446146601254462e+00,9.906139208141125252e+00,4.474408155993411462e+00
1.681067906765593634e+01,5.543327398521384453e+00,8.809542308355633011e+00,4.184132102916115592e+00
1.470530031298853757e+01,5.233630712192082868e+00,7.334977147453709989e+00,3.901520380220915296e+00
1.388437576760950698e+01,5.012971136373343128e+00,6.433345659155595087e+00,3.644276153413872787e+00
1.191342891030704898e+01,4.685053891127871850e+00,6.652315385718094554e+00,3.671793373007523176e+00
1.103602511335894043e+01,4.532293278531930092e+00,5.584144102272234456e+00,3.476525630448993986e+00
1.022488558077320597e+01,4.399922707953403567e+00,5.081639646228991225e+00,3.342203043636522874e+00
9.445907747008137179e+00,4.231010898794095532e+00,6.032059419782537901e+00,3.555467385994760754e+00
8.331871970719898712e+00,4.068465413813738607e+00,4.821547936138354196e+00,3.242212650650425854e+00
8.493723615543130379e+00,4.063776356964996062e+00,5.064388437020150846e+00,3.270859510020205807e+00
7.781122427164893551e+00,3.923218292520218142e+00,3.834137676891527846e+00,3.086080393038297842e+00
7.347514583892428952e+00,3.872485120579139295e+00,4.041174539766813290e+00,3.111410442151521405e+00
7.292633554677373731e+00,3.830766201633768020e+00,4.213850953704432634e+00,3.069149029882330737e+00
6.544153626124883161e+00,3.727396899891882942e+00,3.969126136679398176e+00,3.085870938552053300e+00
6.221961428056058452e+00,3.604128367046719905e+00,3.742711597367336829e+00,3.007708997475473378e+00
6.039820217901898047e+00,3.568519748670538672e+00,3.661225465724342598e+00,2.965715358131810309e+00
6.203483097024800053e+00,3.603420898779151393e+00,3.560176756507472007e+00,2.969348657758612564e+00
5.655666369752785805e+00,3.497505379706313811e+00,3.557081634119937164e+00,2.920388560546071766e+00
5.655685294841982902e+00,3.461996320903915514e+00,3.607207510973277742e+00,2.946085424172250722e+00
5.697743814937846984e+00,3.466298089199459476e+00,3.455044974151410653e+00,2.862118887901305975e+00
5.304192868858268461e+00,3.390427433338361940e+00,3.227243723367390071e+00,2.849454719141909731e+00
5.318268881937892267e+00,3.386044350788765200e+00,3.333556289421884422e+00,2.837160651307356840e+00
4.902128490897798230e+00,3.323261910492611992e+00,3.260245770529696774e+00,2.791474216235311445e+00
5.238764666097679878e+00,3.349092964659031946e+00,3.179474287284048017e+00,2.772735536098480225e+00
4.817180774875523319e+00,3.263713641879484761e+00,3.376388523453160317e+00,2.834339029538003984e+00
4.891692546839566447e+00,3.311627135448849124e+00,3.003865388820045723e+00,2.751158099425466297e+00
4.663164327746813775e+00,3.224298833264517938e+00,3.089908298065787928e+00,2.777646301922045424e+00
4.368026077132864060e+00,3.149953048868277428e+00,2.993859920376225503e+00,2.705189023519817049e+00
4.424480889568624065e+00,3.168367473120541788e+00,2.859203721347608251e+00,2.671160396149284022e+00
4.562636105670142328e+00,3.200758672866624632e+00,2.970040754268044036e+00,2.728357626262464031e+00
4.292908198440198220e+00,3.130039079287617376e+00,3.007792066900353500e+00,2.723181651140514248e+00
4.543157247231178530e+00,3.186570994632760279e+00,3.155650979594180505e+00,2.763093610186325932e+00
4.147184956626793984e+00,3.067311388930094473e+00,3.157431706001883942e+00,2.782343196868896307e+00
4.095251147740895270e+00,3.062712635115250048e+00,2.629934725635930004e+00,2.584911522739811840e+00
4.020145931809218531e+00,3.053691107894956236e+00,2.831771249520151024e+00,2.647361847601438889e+00
3.970635122398740169e+00,3.012310305821527034e+00,2.819694179610201967e+00,2.637243134097049246e+00
3.902652831882545748e+00,3.004167724515973692e+00,2.701762347472341563e+00,2.588442313043694654e+00
3.865162823771692846e+00,2.998250564041825772e+00,2.916208411517896337e+00,2.641587857196205480e+00
3.858030654259563708e+00,2.994615323764761694e+00,2.974681889383416600e+00,2.638820327583112135e+00
3.864381583081078375e+00,3.009055376974577811e+00,2.796333620422764898e+00,2.592849106537668202e+00
3.688798708553166605e+00,2.932298893320191890e+00,2.653748058645348795e+00,2.584588320631729719e+00
