train_loss,train_rmsd,val_loss,val_rmsd
3.244100952148437500e+01,9.291720390319824219e+00,4.786587905883789062e+01,9.921079635620117188e+00
1.210365829467773438e+02,1.756894874572753906e+01,4.030690002441406250e+01,8.896080970764160156e+00
6.812664794921875000e+01,1.257007026672363281e+01,3.428746414184570312e+01,8.230197906494140625e+00
1.972063064575195312e+01,7.470256805419921875e+00,2.807191276550292969e+01,7.443592071533203125e+00
6.510260772705078125e+01,1.206652355194091797e+01,2.349425697326660156e+01,6.502114772796630859e+00
3.237749481201171875e+01,9.562268257141113281e+00,1.648616790771484375e+01,5.789568424224853516e+00
5.446973037719726562e+01,9.771162033081054688e+00,1.401912593841552734e+01,5.178180217742919922e+00
1.274109725952148438e+02,1.376871871948242188e+01,1.104435825347900391e+01,4.870399475097656250e+00
7.999565124511718750e+00,4.810543060302734375e+00,7.573920726776123047e+00,3.992306947708129883e+00
3.727359056472778320e+00,3.147662878036499023e+00,6.310845375061035156e+00,3.816981792449951172e+00
5.054508972167968750e+01,1.173074340820312500e+01,5.793955326080322266e+00,3.573806524276733398e+00
4.680550098419189453e+00,3.349318504333496094e+00,3.980999946594238281e+00,3.258678197860717773e+00
2.172837638854980469e+01,7.762490749359130859e+00,3.527174949645996094e+00,2.962787628173828125e+00
4.951376914978027344e+00,3.842229366302490234e+00,3.452840089797973633e+00,2.964621543884277344e+00
3.931469440460205078e+00,3.397488832473754883e+00,2.804575920104980469e+00,2.656106948852539062e+00
3.631000995635986328e+00,3.254496574401855469e+00,2.649821519851684570e+00,2.482872486114501953e+00
2.641124486923217773e+00,2.681015968322753906e+00,2.634099006652832031e+00,2.722323656082153320e+00
4.132747650146484375e+00,3.507263660430908203e+00,2.360212326049804688e+00,2.568376541137695312e+00
4.219740867614746094e+00,3.548543214797973633e+00,2.298168897628784180e+00,2.504265546798706055e+00
2.903470754623413086e+00,2.846464157104492188e+00,2.093590021133422852e+00,2.363503456115722656e+00
3.261678934097290039e+00,3.092024564743041992e+00,2.052445650100708008e+00,2.346045017242431641e+00
4.033362388610839844e+00,3.465698242187500000e+00,1.904339551925659180e+00,2.216101646423339844e+00
3.992269515991210938e+00,3.441954135894775391e+00,2.091506481170654297e+00,2.380752563476562500e+00
3.878895044326782227e+00,3.383567333221435547e+00,1.877884984016418457e+00,2.259094476699829102e+00
3.662223815917968750e+01,8.296170234680175781e+00,1.923410654067993164e+00,2.301485061645507812e+00
3.657514572143554688e+00,2.678090810775756836e+00,1.744539022445678711e+00,2.070605039596557617e+00
3.037986755371093750e+00,3.015458345413208008e+00,1.848859667778015137e+00,2.257729053497314453e+00
8.889568328857421875e+00,4.752897262573242188e+00,1.947785615921020508e+00,2.354017496109008789e+00
3.005557060241699219e+00,2.972119092941284180e+00,1.756390094757080078e+00,2.125089168548583984e+00
1.133646678924560547e+01,5.085813522338867188e+00,1.917106866836547852e+00,2.281411886215209961e+00
2.838659763336181641e+00,2.906032562255859375e+00,1.778868317604064941e+00,2.199662923812866211e+00
3.245240688323974609e+00,3.049082756042480469e+00,1.704266309738159180e+00,2.139975309371948242e+00
2.715997314453125000e+01,6.125871658325195312e+00,1.843309640884399414e+00,2.270033359527587891e+00
1.424155950546264648e+00,1.860575318336486816e+00,1.622114419937133789e+00,2.047600984573364258e+00
2.596853256225585938e+00,2.682455062866210938e+00,1.661968111991882324e+00,2.073065042495727539e+00
5.109164714813232422e+00,3.752619266510009766e+00,1.663381934165954590e+00,2.129935264587402344e+00
5.860802650451660156e+00,3.752072811126708984e+00,1.625240445137023926e+00,2.064986228942871094e+00
2.767022609710693359e+00,2.845691680908203125e+00,1.528506517410278320e+00,2.031457662582397461e+00
2.842325687408447266e+00,2.844199657440185547e+00,1.516593098640441895e+00,2.010469913482666016e+00
2.846164464950561523e+00,2.915330648422241211e+00,1.610817193984985352e+00,2.110586643218994141e+00
2.043199062347412109e+00,2.350926876068115234e+00,1.566390991210937500e+00,2.075057506561279297e+00
2.028883457183837891e+00,2.337574958801269531e+00,1.522493958473205566e+00,2.028819561004638672e+00
2.823148965835571289e+00,2.760870933532714844e+00,1.367083191871643066e+00,1.890126705169677734e+00
2.131701946258544922e+00,2.264028072357177734e+00,1.422207117080688477e+00,1.962844848632812500e+00
2.897249937057495117e+00,2.934082508087158203e+00,1.428895592689514160e+00,1.934471487998962402e+00
4.845112800598144531e+00,3.487912893295288086e+00,1.298104286193847656e+00,1.827700138092041016e+00
5.677238941192626953e+00,3.685448884963989258e+00,1.537063717842102051e+00,2.021266698837280273e+00
1.407028317451477051e+00,1.873993396759033203e+00,1.475701451301574707e+00,2.016522645950317383e+00
2.445047378540039062e+00,2.706940650939941406e+00,1.347384452819824219e+00,1.894012689590454102e+00
2.446830272674560547e+00,2.708722829818725586e+00,1.343748211860656738e+00,1.918437004089355469e+00
