Domains Frequency Analysis
==================================================

Files processed: 27,866
Files with domains: 13,088
Total domains instances: 2,597,234
Unique domains types: 4,625

Complete frequency list (sorted by frequency):
Rank	Term	Frequency	Percentage
------------------------------------------------------------
1	Pkinase	60102	2.314%
2	p450	29646	1.141%
3	MFS_1	25723	0.990%
4	7tm_4	21311	0.821%
5	ABC_tran	19619	0.755%
6	Ank_2	15920	0.613%
7	AMP-binding	14897	0.574%
8	Pkinase_Tyr	14055	0.541%
9	WD40	11931	0.459%
10	ABC_membrane	11810	0.455%
11	adh_short	10257	0.395%
12	SMC_N	10239	0.394%
13	Peptidase_S8	10178	0.392%
14	NB-ARC	10111	0.389%
15	7tm_1	9848	0.379%
16	Sugar_tr	9655	0.372%
17	RVT_1	9010	0.347%
18	COesterase	8779	0.338%
19	UCH	8559	0.330%
20	Mito_carr	8531	0.328%
21	Trypsin	8185	0.315%
22	DEAD	7860	0.303%
23	GGDEF	7856	0.302%
24	Exo_endo_phos	7540	0.290%
25	LRR_8	7230	0.278%
26	Glycos_transf_1	6996	0.269%
27	Response_reg	6724	0.259%
28	Helicase_C	6709	0.258%
29	Glycos_transf_2	6656	0.256%
30	Aa_trans	6570	0.253%
31	Metallophos	6375	0.245%
32	Asp	6315	0.243%
33	Abhydrolase_3	6274	0.242%
34	Acyl_transf_3	6125	0.236%
35	HATPase_c	6106	0.235%
36	Amino_oxidase	5993	0.231%
37	EamA	5883	0.227%
38	HET	5602	0.216%
39	adh_short_C2	5492	0.211%
40	Ion_trans	5478	0.211%
41	Lipase_GDSL	5409	0.208%
42	Beta-lactamase	5336	0.205%
43	ASC	5289	0.204%
44	Stress-antifung	5240	0.202%
45	I-set	5078	0.196%
46	HSP70	4926	0.190%
47	zf-C2H2	4920	0.189%
48	SET	4880	0.188%
49	DAO	4841	0.186%
50	LysR_substrate	4817	0.185%
51	RRM_1	4814	0.185%
52	Pyr_redox_2	4793	0.185%
53	Aminotran_1_2	4777	0.184%
54	Aldo_ket_red	4773	0.184%
55	DUF247	4754	0.183%
56	EMP70	4690	0.181%
57	ABC2_membrane_3	4639	0.179%
58	UDPGT	4612	0.178%
59	CUB	4595	0.177%
60	V-set	4563	0.176%
61	Peptidase_C1	4542	0.175%
62	ABC2_membrane	4526	0.174%
63	FMO-like	4502	0.173%
64	Glyco_transf_4	4496	0.173%
65	Abhydrolase_1	4480	0.172%
66	APH	4450	0.171%
67	PPR	4322	0.166%
68	Amidase	4312	0.166%
69	AAA	4308	0.166%
70	Epimerase	4306	0.166%
71	Amidohydro_1	4210	0.162%
72	Ras	4172	0.161%
73	Cullin	4089	0.157%
74	Glyco_hydro_18	4038	0.155%
75	Sec1	4016	0.155%
76	VWA	4011	0.154%
77	TonB_dep_Rec	3967	0.153%
78	Kinesin	3881	0.149%
79	Thioredoxin	3878	0.149%
80	SNF2_N	3876	0.149%
81	EGF_CA	3874	0.149%
82	Y_phosphatase	3852	0.148%
83	DSPc	3807	0.147%
84	RabGAP-TBC	3769	0.145%
85	Na_H_Exchanger	3754	0.145%
86	PP2C	3752	0.144%
87	Spc97_Spc98	3750	0.144%
88	rve	3740	0.144%
89	PfkB	3676	0.142%
90	RCC1	3656	0.141%
91	GSDH	3649	0.140%
92	Hydrolase_4	3619	0.139%
93	AA_permease_2	3608	0.139%
94	PH	3571	0.137%
95	PPR_2	3525	0.136%
96	EAL	3507	0.135%
97	Aldedh	3489	0.134%
98	Voltage_CLC	3480	0.134%
99	Phage_integrase	3451	0.133%
100	Acetyltransf_1	3446	0.133%
101	Cellulase	3400	0.131%
102	fn3	3383	0.130%
103	Sulfatase	3319	0.128%
104	ANF_receptor	3317	0.128%
105	OEP	3282	0.126%
106	Aminotran_3	3274	0.126%
107	RVT_2	3248	0.125%
108	B_lectin	3241	0.125%
109	DHHC	3227	0.124%
110	Spectrin	3215	0.124%
111	Sulfotransfer_1	3209	0.124%
112	E1-E2_ATPase	3182	0.123%
113	Peptidase_S10	3148	0.121%
114	TAS2R	3100	0.119%
115	MMPL	3066	0.118%
116	BTB	3064	0.118%
117	SBP_bac_5	3059	0.118%
118	PAS_9	3059	0.118%
119	DUF4220	3054	0.118%
120	Nic96	3042	0.117%
121	NACHT	3037	0.117%
122	OMP_b-brl_3	3031	0.117%
123	AAA_11	3021	0.116%
124	BPD_transp_2	3009	0.116%
125	Usp	2977	0.115%
126	MIP	2977	0.115%
127	MCPsignal	2973	0.114%
128	MatE	2962	0.114%
129	Peptidase_M13_N	2912	0.112%
130	His_Phos_1	2880	0.111%
131	UQ_con	2876	0.111%
132	Methylase_S	2873	0.111%
133	Mem_trans	2865	0.110%
134	UvrD_C	2865	0.110%
135	Sel1	2864	0.110%
136	V_ATPase_I	2864	0.110%
137	Piwi	2860	0.110%
138	Myosin_head	2816	0.108%
139	Glyco_hydro_28	2806	0.108%
140	Abhydrolase_6	2783	0.107%
141	RNB	2777	0.107%
142	Lipase_GDSL_2	2768	0.107%
143	HECT	2760	0.106%
144	DNA_pol_A_exo1	2730	0.105%
145	Polysacc_synt	2686	0.103%
146	S_locus_glycop	2681	0.103%
147	EGF	2670	0.103%
148	TPR_10	2635	0.101%
149	AAA_12	2625	0.101%
150	Pro_isomerase	2613	0.101%
151	PIF1	2612	0.101%
152	HTH_18	2584	0.099%
153	PI3_PI4_kinase	2576	0.099%
154	Carn_acyltransf	2567	0.099%
155	Proton_antipo_M	2563	0.099%
156	Terpene_synth_C	2547	0.098%
157	Peptidase_C14	2540	0.098%
158	AAA_23	2535	0.098%
159	Methyltr_RsmB-F	2534	0.098%
160	CAF1	2534	0.098%
161	MBOAT	2530	0.097%
162	Ig_3	2514	0.097%
163	Asn_synthase	2509	0.097%
164	Tetraspannin	2508	0.097%
165	NUDIX	2501	0.096%
166	OATP	2497	0.096%
167	C2	2491	0.096%
168	Sulfate_transp	2487	0.096%
169	G_glu_transpept	2458	0.095%
170	FAD_binding_4	2443	0.094%
171	SDF	2434	0.094%
172	PseudoU_synth_2	2408	0.093%
173	HisKA	2398	0.092%
174	PTR2	2392	0.092%
175	Condensation	2386	0.092%
176	Peptidase_M28	2380	0.092%
177	Peptidase_S9	2359	0.091%
178	RPE65	2356	0.091%
179	Glyco_hydro_31	2351	0.091%
180	NIF	2335	0.090%
181	Mitofilin	2334	0.090%
182	Glyco_hydro_47	2332	0.090%
183	Topoisom_bac	2327	0.090%
184	Methyltransf_11	2321	0.089%
185	Na_sulph_symp	2319	0.089%
186	Sulfotransfer_2	2312	0.089%
187	Glyco_hydro_38C	2307	0.089%
188	UvrD-helicase	2300	0.089%
189	Actin	2297	0.088%
190	Cadherin	2293	0.088%
191	SusD_RagB	2291	0.088%
192	Ank_4	2277	0.088%
193	CRAL_TRIO	2277	0.088%
194	DnaJ	2275	0.088%
195	HAD_2	2265	0.087%
196	ADH_zinc_N	2263	0.087%
197	Lectin_C	2258	0.087%
