Orthologous Groups Frequency Analysis
==================================================

Files processed: 27,866
Files with orthologous_groups: 18,159
Total orthologous_groups instances: 88,315
Unique orthologous_groups types: 57,191

Complete frequency list (sorted by frequency):
Rank	Term	Frequency	Percentage
------------------------------------------------------------
1	COG0515@1|root	245	0.277%
2	COG2801@1|root	195	0.221%
3	KOG0017@2759|Eukaryota	181	0.205%
4	COG0666@1|root	159	0.180%
5	COG4886@1|root	147	0.166%
6	KOG1075@1|root	133	0.151%
7	KOG1075@2759|Eukaryota	133	0.151%
8	COG0457@1|root	97	0.110%
9	COG2124@1|root	96	0.109%
10	COG1028@1|root	86	0.097%
11	KOG4658@1|root	84	0.095%
12	KOG4658@2759|Eukaryota	84	0.095%
13	KOG0504@2759|Eukaryota	83	0.094%
14	COG0438@1|root	62	0.070%
15	COG0477@1|root	61	0.069%
16	KOG0192@2759|Eukaryota	60	0.068%
17	KOG4197@1|root	57	0.065%
18	KOG4197@2759|Eukaryota	57	0.065%
19	KOG0619@2759|Eukaryota	56	0.063%
20	KOG1217@1|root	55	0.062%
21	KOG1217@2759|Eukaryota	55	0.062%
22	COG0457@2|Bacteria	53	0.060%
23	COG1132@1|root	51	0.058%
24	COG0438@2|Bacteria	50	0.057%
25	COG1309@1|root	49	0.055%
26	COG1309@2|Bacteria	49	0.055%
27	KOG1721@1|root	47	0.053%
28	KOG1721@2759|Eukaryota	47	0.053%
29	KOG4177@2759|Eukaryota	46	0.052%
30	COG1404@1|root	45	0.051%
31	COG0515@2|Bacteria	44	0.050%
32	COG0657@1|root	43	0.049%
33	COG0642@1|root	42	0.048%
34	COG2199@1|root	40	0.045%
35	COG0500@1|root	39	0.044%
36	COG1131@1|root	38	0.043%
37	COG2940@1|root	37	0.042%
38	COG5640@1|root	37	0.042%
39	KOG3656@1|root	37	0.042%
40	KOG3656@2759|Eukaryota	37	0.042%
41	KOG0156@2759|Eukaryota	37	0.042%
42	KOG3627@2759|Eukaryota	36	0.041%
43	COG0507@1|root	36	0.041%
44	COG2453@1|root	36	0.041%
45	COG5069@1|root	36	0.041%
46	COG0513@1|root	35	0.040%
47	COG5599@1|root	35	0.040%
48	28H9T@1|root	35	0.040%
49	COG2205@2|Bacteria	34	0.038%
50	COG0631@1|root	34	0.038%
51	COG0697@1|root	34	0.038%
52	KOG0157@2759|Eukaryota	33	0.037%
53	COG0596@1|root	33	0.037%
54	KOG1192@1|root	33	0.037%
55	KOG1192@2759|Eukaryota	33	0.037%
56	COG1112@1|root	33	0.037%
57	KOG3105@1|root	33	0.037%
58	KOG3105@2759|Eukaryota	33	0.037%
59	COG5059@1|root	32	0.036%
60	COG3210@1|root	32	0.036%
61	COG3210@2|Bacteria	32	0.036%
62	COG0318@1|root	32	0.036%
63	COG0526@1|root	32	0.036%
64	COG5184@1|root	32	0.036%
65	2QPNE@2759|Eukaryota	32	0.036%
66	COG2207@1|root	31	0.035%
67	COG2207@2|Bacteria	31	0.035%
68	COG2319@1|root	31	0.035%
69	COG5032@1|root	31	0.035%
70	COG3706@2|Bacteria	30	0.034%
71	COG0583@1|root	30	0.034%
72	COG0583@2|Bacteria	30	0.034%
73	COG1028@2|Bacteria	30	0.034%
74	COG1196@1|root	30	0.034%
75	KOG0987@2759|Eukaryota	30	0.034%
76	KOG1339@1|root	29	0.033%
77	KOG1339@2759|Eukaryota	29	0.033%
78	COG1216@1|root	29	0.033%
79	COG1216@2|Bacteria	29	0.033%
80	COG3291@1|root	29	0.033%
81	COG3291@2|Bacteria	29	0.033%
82	KOG4297@1|root	28	0.032%
83	KOG4297@2759|Eukaryota	28	0.032%
84	COG0553@1|root	28	0.032%
85	KOG1187@2759|Eukaryota	28	0.032%
86	COG5273@1|root	27	0.031%
87	KOG0054@2759|Eukaryota	27	0.031%
88	COG0451@1|root	27	0.031%
89	COG0582@1|root	27	0.031%
90	COG0582@2|Bacteria	27	0.031%
91	KOG1716@2759|Eukaryota	27	0.031%
92	COG3209@1|root	26	0.029%
93	COG3209@2|Bacteria	26	0.029%
94	COG1020@1|root	26	0.029%
95	COG5001@1|root	26	0.029%
96	COG5001@2|Bacteria	26	0.029%
97	COG4585@1|root	26	0.029%
98	COG4585@2|Bacteria	26	0.029%
99	COG0474@1|root	26	0.029%
100	COG0484@1|root	26	0.029%
101	KOG1121@1|root	26	0.029%
102	KOG1121@2759|Eukaryota	26	0.029%
103	COG0840@1|root	25	0.028%
104	COG0840@2|Bacteria	25	0.028%
105	COG1100@1|root	25	0.028%
106	COG0657@2|Bacteria	25	0.028%
107	2C3P7@1|root	25	0.028%
108	COG2272@1|root	25	0.028%
109	2D08J@1|root	25	0.028%
110	2SD6V@2759|Eukaryota	25	0.028%
111	COG0454@1|root	24	0.027%
112	COG0664@1|root	24	0.027%
113	COG1396@1|root	24	0.027%
114	COG1396@2|Bacteria	24	0.027%
115	COG2755@1|root	24	0.027%
116	COG2755@2|Bacteria	24	0.027%
117	KOG3594@1|root	24	0.027%
118	KOG0032@1|root	24	0.027%
119	KOG0032@2759|Eukaryota	24	0.027%
120	2ETXE@1|root	24	0.027%
