Semantic Description Frequency Analysis
==================================================

Files processed: 27,866
Files with semantic_description: 16,110
Total semantic_description instances: 94,046
Unique semantic_description types: 9,126

Complete frequency list (sorted by frequency):
Rank	Term	Frequency	Percentage
------------------------------------------------------------
1	protein	3565	3.791%
2	the	2709	2.881%
3	of	2587	2.751%
4	domain	1979	2.104%
5	family	1915	2.036%
6	activity	1855	1.972%
7	to	1579	1.679%
8	binding	1125	1.196%
9	like	1069	1.137%
10	and	1055	1.122%
11	in	955	1.015%
12	Belongs	797	0.847%
13	kinase	763	0.811%
14	DNA	716	0.761%
15	1	622	0.661%
16	3	502	0.534%
17	2	498	0.530%
18	a	486	0.517%
19	containing	459	0.488%
20	dependent	445	0.473%
21	function	445	0.473%
22	type	428	0.455%
23	RNA	412	0.438%
24	Protein	410	0.436%
25	receptor	408	0.434%
26	unknown	404	0.430%
27	repeat	399	0.424%
28	subunit	398	0.423%
29	is	392	0.417%
30	N	389	0.414%
31	factor	386	0.410%
32	terminal	378	0.402%
33	process	378	0.402%
34	complex	373	0.397%
35	with	367	0.390%
36	regulation	361	0.384%
37	5	345	0.367%
38	membrane	339	0.360%
39	involved	337	0.358%
40	C	303	0.322%
41	beta	298	0.317%
42	superfamily	294	0.313%
43	for	290	0.308%
44	cell	286	0.304%
45	transporter	271	0.288%
46	hydrolase	270	0.287%
47	4	269	0.286%
48	transport	266	0.283%
49	A	266	0.283%
50	PFAM	265	0.282%
51	by	238	0.253%
52	proteins	237	0.252%
53	associated	236	0.251%
54	polymerase	230	0.245%
55	ATP	229	0.243%
56	Domain	227	0.241%
57	acid	223	0.237%
58	serine	222	0.236%
59	tRNA	217	0.231%
60	phosphatase	213	0.226%
61	transferase	206	0.219%
62	dehydrogenase	198	0.211%
63	helix	197	0.209%
64	ATPase	197	0.209%
65	transcription	197	0.209%
66	alpha	195	0.207%
67	that	193	0.205%
68	from	190	0.202%
69	ribosomal	190	0.202%
70	methyltransferase	186	0.198%
71	assembly	186	0.198%
72	transmembrane	186	0.198%
73	threonine	186	0.198%
74	phosphate	182	0.194%
75	regulator	178	0.189%
76	as	173	0.184%
77	specific	171	0.182%
78	synthase	170	0.181%
79	enzyme	169	0.180%
80	Catalyzes	168	0.179%
81	It	166	0.177%
82	6	164	0.174%
83	chain	163	0.173%
84	finger	158	0.168%
85	II	157	0.167%
86	S	153	0.163%
87	reductase	152	0.162%
88	biological	150	0.159%
89	channel	149	0.158%
90	or	147	0.156%
91	peptidase	139	0.148%
92	ion	138	0.147%
93	region	137	0.146%
94	ubiquitin	137	0.146%
95	CoA	136	0.145%
96	I	136	0.145%
97	described	135	0.144%
98	oxidoreductase	133	0.141%
99	member	133	0.141%
100	related	131	0.139%
101	resistance	131	0.139%
102	class	130	0.138%
103	O	128	0.136%
104	G	126	0.134%
105	catalytic	126	0.134%
106	D	125	0.133%
107	zinc	123	0.131%
108	rRNA	123	0.131%
109	which	121	0.129%
110	helicase	121	0.129%
111	L	120	0.128%
112	F	119	0.127%
113	pathway	118	0.125%
114	rich	118	0.125%
115	ligase	118	0.125%
116	system	117	0.124%
117	homolog	116	0.123%
118	Source	116	0.123%
119	PGD	116	0.123%
120	response	114	0.121%
121	P	112	0.119%
122	mediated	112	0.119%
123	H	112	0.119%
124	at	110	0.117%
125	component	109	0.116%
126	motif	108	0.115%
127	an	108	0.115%
128	mitochondrial	105	0.112%
129	negative	105	0.112%
130	positive	105	0.112%
131	signaling	103	0.110%
132	group	102	0.108%
133	via	102	0.108%
134	into	101	0.107%
135	ABC	101	0.107%
136	biosynthesis	100	0.106%
137	tyrosine	99	0.105%
138	repair	99	0.105%
139	mRNA	99	0.105%
140	calcium	98	0.104%
141	repeats	98	0.104%
142	box	97	0.103%
143	nucleotide	96	0.102%
144	B	95	0.101%
145	GTPase	95	0.101%
146	turn	94	0.100%
147	NAD	94	0.100%
148	formation	94	0.100%
149	regulatory	93	0.099%
150	conserved	91	0.097%
151	carrier	91	0.097%
152	The	91	0.097%
153	Bacterial	90	0.096%
154	amino	89	0.095%
155	acyl	88	0.094%
156	LRR	87	0.093%
157	Glycosyl	87	0.093%
158	subfamily	86	0.091%
159	initiation	86	0.091%
160	coupled	86	0.091%
161	glycosyl	84	0.089%
162	cellular	83	0.088%
163	on	82	0.087%
164	oxidase	81	0.086%
165	endonuclease	80	0.085%
166	role	80	0.085%
167	catabolic	80	0.085%
168	cyclase	79	0.084%
169	Zinc	79	0.084%
170	protease	77	0.082%
171	transcriptional	76	0.081%
172	replication	76	0.081%
173	biosynthetic	75	0.080%
174	translation	75	0.080%
175	Golgi	74	0.079%
176	small	74	0.079%
177	8	74	0.079%
178	7	73	0.078%
179	UDP	71	0.075%
180	AAA	71	0.075%
181	processing	70	0.074%
182	sequence	69	0.073%
183	TC	69	0.073%
184	domains	68	0.072%
185	synthesis	68	0.072%
186	inhibitor	68	0.072%
187	Serine	67	0.071%
188	cytochrome	67	0.071%
189	Type	66	0.070%
190	nuclear	66	0.070%
191	Transposase	65	0.069%
192	adhesion	65	0.069%
193	Putative	65	0.069%
194	III	64	0.068%
195	isomerase	64	0.068%
196	homology	64	0.068%
197	Histidine	64	0.068%
198	metabolic	64	0.068%
199	transcriptase	64	0.068%
200	signal	63	0.067%
201	ribosome	63	0.067%
202	lipid	63	0.067%
203	outer	62	0.066%
204	permease	62	0.066%
205	disease	62	0.066%
206	Major	61	0.065%
207	Cytochrome	61	0.065%
208	WD	61	0.065%
209	V	61	0.065%
210	transfer	61	0.065%
211	Peptidase	61	0.065%
212	ADP	60	0.064%
213	terminus	59	0.063%
214	catalyzes	59	0.063%
215	antigen	59	0.063%
216	Glycosyltransferase	58	0.062%
217	P450	57	0.061%
218	iron	57	0.061%
219	non	57	0.061%
220	linked	57	0.061%
221	core	57	0.061%
222	histone	57	0.061%
223	proton	56	0.060%
224	Involved	56	0.060%
225	are	56	0.060%
226	synthetase	56	0.060%
227	Ribonuclease	56	0.060%
228	activated	55	0.058%
229	acetyltransferase	55	0.058%
230	NADH	55	0.058%
231	required	54	0.057%
232	form	54	0.057%
233	9	54	0.057%
234	other	54	0.057%
235	cysteine	54	0.057%
236	Transcriptional	53	0.056%
237	May	53	0.056%
238	coil	53	0.056%
239	location	53	0.056%
240	endopeptidase	53	0.056%
241	vesicle	53	0.056%
242	directed	52	0.055%
243	reaction	52	0.055%
244	fatty	52	0.055%
245	Psort	52	0.055%
246	central	51	0.054%
247	microtubule	51	0.054%
248	trans	51	0.054%
249	gene	51	0.054%
250	score	51	0.054%
251	FAD	50	0.053%
252	Ankyrin	50	0.053%
253	Leucine	50	0.053%
254	phosphatidylinositol	50	0.053%
255	chaperone	50	0.053%
256	Reverse	50	0.053%
257	secretion	49	0.052%
258	cycle	49	0.052%
259	Mitochondrial	49	0.052%
260	GTP	49	0.052%
261	peptide	49	0.052%
262	site	49	0.052%
263	Pentatricopeptide	49	0.052%
264	Superfamily	48	0.051%
265	be	48	0.051%
266	peptidyl	48	0.051%
267	gamma	48	0.051%
268	biogenesis	48	0.051%
269	SAM	47	0.050%
270	Required	47	0.050%
271	transposition	47	0.050%
272	end	46	0.049%
273	DDE	46	0.049%
274	Alpha	46	0.049%
275	its	46	0.049%
276	during	46	0.049%
277	exchange	46	0.049%
278	activator	46	0.049%
279	transduction	45	0.048%
280	stress	45	0.048%
281	wall	45	0.048%
282	interacting	45	0.048%
283	c	44	0.047%
284	two	44	0.047%
285	Methyltransferase	44	0.047%
286	Family	44	0.047%
287	extracellular	44	0.047%
288	ubiquitination	44	0.047%
289	Tetratricopeptide	43	0.046%
290	substrate	43	0.046%
291	groups	43	0.046%
292	dehydratase	43	0.046%
293	Gln	43	0.046%
294	elongation	42	0.045%
295	Immunoglobulin	42	0.045%
296	modification	42	0.045%
297	bacteria	41	0.044%
298	Facilitator	41	0.044%
299	growth	41	0.044%
300	sulfur	41	0.044%
301	degradation	41	0.044%
302	activation	41	0.044%
303	chromosome	41	0.044%
304	actin	41	0.044%
305	incompatibility	41	0.044%
306	reduction	40	0.043%
307	large	40	0.043%
308	structural	40	0.043%
309	cluster	40	0.043%
310	Heterokaryon	40	0.043%
311	fold	39	0.041%
312	maturation	39	0.041%
313	Phage	39	0.041%
314	through	39	0.041%
315	T	39	0.041%
316	glutamine	39	0.041%
317	division	39	0.041%
318	E3	39	0.041%
319	carbohydrate	39	0.041%
320	similarity	39	0.041%
321	Cysteine	39	0.041%
322	cation	39	0.041%
323	gag	39	0.041%
324	IV	38	0.040%
325	gated	38	0.040%
326	eukaryotic	38	0.040%
327	specificity	38	0.040%
328	sodium	38	0.040%
329	Transmembrane	38	0.040%
330	Olfactory	38	0.040%
331	phospholipase	38	0.040%
332	TIGRFAM	38	0.040%
333	In	38	0.040%
334	development	38	0.040%
335	polypeptide	38	0.040%
336	phosphorylation	37	0.039%
337	inner	37	0.039%
338	lectin	37	0.039%
339	AMP	37	0.039%
340	transferring	37	0.039%
341	both	37	0.039%
342	sugar	37	0.039%
343	movement	37	0.039%
344	present	37	0.039%
345	strand	37	0.039%
346	ankyrin	37	0.039%
347	NADPH	36	0.038%
348	maintenance	36	0.038%
349	Coiled	36	0.038%
350	transposase	36	0.038%
351	cleavage	36	0.038%
352	intermediate	36	0.038%
353	acetyl	36	0.038%
354	Cytoplasmic	36	0.038%
355	motor	36	0.038%
356	HET	36	0.038%
357	Component	35	0.037%
358	Lipase	35	0.037%
359	Acyl	35	0.037%
360	Beta	35	0.037%
361	alcohol	35	0.037%
362	binds	35	0.037%
363	release	35	0.037%
364	methionine	35	0.037%
365	activating	35	0.037%
366	ubiquinone	35	0.037%
367	splicing	35	0.037%
368	methylation	34	0.036%
369	Receptor	34	0.036%
370	subunits	34	0.036%
371	control	34	0.036%
372	Ribosomal	34	0.036%
373	acyltransferase	34	0.036%
374	reticulum	34	0.036%
375	factors	34	0.036%
376	activities	34	0.036%
377	localization	34	0.036%
378	ER	34	0.036%
379	short	33	0.035%
