sequence_id,rep_id,rep_json_path,member_json_path
1a0i_A,,,1a0i_A.json
1a37_P,,,1a37_P.json
1aol_A,,,1aol_A.json
1b8a_A,,,1b8a_A.json
1b8h_D,,,1b8h_D.json
1boh_A,,,1boh_A.json
1c4u_3,,,1c4u_3.json
1c7j_A,,,1c7j_A.json
1c8o_A,,,1c8o_A.json
1cen_A,,,1cen_A.json
1cf5_A,,,1cf5_A.json
1cr5_A,,,1cr5_A.json
1de7_A,,,1de7_A.json
1e54_B,,,1e54_B.json
1ejh_G,,,1ejh_G.json
1ex4_A,,,1ex4_A.json
1ezj_A,,,1ezj_A.json
1fcu_A,,,1fcu_A.json
1fdi_A,,,1fdi_A.json
1fhv_A,,,1fhv_A.json
1fvo_A,,,1fvo_A.json
1fvp_A,,,1fvp_A.json
1g0y_I,,,1g0y_I.json
1g1s_C,,,1g1s_C.json
1gjw_A,,,1gjw_A.json
1gui_A,,,1gui_A.json
1gvn_A,,,1gvn_A.json
1gxc_B,,,1gxc_B.json
1h97_A,,,1h97_A.json
1hss_A,,,1hss_A.json
1i1r_B,,,1i1r_B.json
1iak_P,,,1iak_P.json
1ib1_E,,,1ib1_E.json
1ir3_B,,,1ir3_B.json
1jad_A,,,1jad_A.json
1jdn_A,,,1jdn_A.json
1jlr_A,,,1jlr_A.json
1jr2_A,,,1jr2_A.json
1k66_A,,,1k66_A.json
1kap_I,,,1kap_I.json
1kcf_A,,,1kcf_A.json
1kdg_B,,,1kdg_B.json
1kjm_P,,,1kjm_P.json
1kkq_E,,,1kkq_E.json
1lf6_A,,,1lf6_A.json
1m4h_C,,,1m4h_C.json
1m8n_A,,,1m8n_A.json
1mgw_A,,,1mgw_A.json
1mr1_C,,,1mr1_C.json
1n0x_P,,,1n0x_P.json
1n2d_C,,,1n2d_C.json
1nlq_A,,,1nlq_A.json
1nlt_B,,,1nlt_B.json
1nps_A,,,1nps_A.json
1nrk_A,,,1nrk_A.json
1nyq_B,,,1nyq_B.json
1o20_A,,,1o20_A.json
1oai_A,,,1oai_A.json
1oby_Q,,,1oby_Q.json
1ol2_E,,,1ol2_E.json
1ol2_F,,,1ol2_F.json
1ou0_B,,,1ou0_B.json
1p16_C,,,1p16_C.json
1p9u_G,,,1p9u_G.json
1paq_A,,,1paq_A.json
1peg_Q,,,1peg_Q.json
1pgv_A,,,1pgv_A.json
1q05_B,,,1q05_B.json
1q19_A,,,1q19_A.json
1q40_A,,,1q40_A.json
1q5z_A,,,1q5z_A.json
1q7t_A,,,1q7t_A.json
1qb3_B,,,1qb3_B.json
1qsf_C,,,1qsf_C.json
1qyi_A,,,1qyi_A.json
1r26_A,,,1r26_A.json
1r5o_A,,,1r5o_A.json
1r6v_A,,,1r6v_A.json
1r7l_B,,,1r7l_B.json
1sef_A,,,1sef_A.json
1sqm_A,,,1sqm_A.json
1sza_Z,,,1sza_Z.json
1t79_B,,,1t79_B.json
1t9h_A,,,1t9h_A.json
1tdj_A,,,1tdj_A.json
1ted_A,,,1ted_A.json
1tqe_X,,,1tqe_X.json
1tvh_C,,,1tvh_C.json
1tw6_D,,,1tw6_D.json
1u17_A,,,1u17_A.json
1u6i_A,,,1u6i_A.json
1uoz_A,,,1uoz_A.json
1vav_A,,,1vav_A.json
1vbd_0,,,1vbd_0.json
1vdm_G,,,1vdm_G.json
1vq3_C,,,1vq3_C.json
1vyh_M,,,1vyh_M.json
1vzq_I,,,1vzq_I.json
1w2b_D,,,1w2b_D.json
